University of Alabama at Birmingham	Birmingham	AL	119	18368.0	1125.0	0.581351094196	14979.5	0.407
Alabama State University	Montgomery	AL	1032	16156.0	825.0	0.458963879377	15738.0	0.3788
The University of Alabama	Tuscaloosa	AL	108	26950.0	1202.0	0.52585192352956	17340.0	0.4452
Auburn University at Montgomery	Montgomery	AL	727	20710.0	1009.0	0.76592082616179	10750.0	0.3556
Auburn University	Auburn	AL	115	28840.0	1217.0	0.8054338299737	17000.0	0.5067
Faulkner University	Montgomery	AL	1108	20130.0	972.0	0.45380212591986	14450.0	0.3944
Huntingdon College	Montgomery	AL	1242	25800.0	1001.0	0.56759906759906	16950.0	0.5123
Jacksonville State University	Jacksonville	AL	645	14700.0	1062.0	0.53082948383209	16450.0	0.4264
University of Mobile	Mobile	AL	1385	21400.0	1029.0	0.61925133689839	16750.0	0.3694
University of Montevallo	Montevallo	AL	1118	24310.0	1069.0	0.65424164524421	17028.0	0.3218
University of North Alabama	Florence	AL	705	14450.0	1028.0	0.55739564428312	12750.0	0.4097
Oakwood University	Huntsville	AL	1261	16750.0	886.0	0.48369315571887	26500.0	0.4148
Samford University	Birmingham	AL	499	29402.0	1170.0	0.91381311665699	15832.0	0.3481
University of South Alabama	Mobile	AL	466	14796.0	1067.0	0.80501618122977	15000.0	0.4616
Spring Hill College	Mobile	AL	881	35794.0	1121.0	0.43531755331614	20500.0	0.3662
Stillman College	Tuscaloosa	AL	1477	10418.0	765.0	0.41919075144508	12500.0	0.4331
Troy University	Troy	AL	511	15484.0	992.0	0.91246639784946	14250.0	0.3973
Tuskegee University	Tuskegee	AL	516	20015.0	1006.0	0.49990330690388	25432.5	0.3715
University of Alaska Fairbanks	Fairbanks	AK	177	18184.0	1060.0	0.73474630700064	9500.0	0.4546
Prescott College	Prescott	AZ	1150	28943.0	1089.0	0.68471337579617	14962.0	0.4017
Arizona Christian University	Phoenix	AZ	1448	23896.0	963.0	0.59162303664921	9500.0	0.6096
University of Arkansas at Little Rock	Little Rock	AR	366	19499.0	1029.0	0.89828009828009	12375.0	0.3961
Lyon College	Batesville	AR	1149	26290.0	1099.0	0.74173117522871	12000.0	0.5344
University of Arkansas	Fayetteville	AR	121	23168.0	1170.0	0.63201634244858	14181.0	0.4737
University of Arkansas at Pine Bluff	Pine Bluff	AR	1300	12988.0	894.0	0.41932945065323	12250.0	0.4105
University of Central Arkansas	Conway	AR	442	14447.0	1082.0	0.89780577001219	12000.0	0.4072
Central Baptist College	Conway	AR	1618	15000.0	1018.0	0.61949685534591	13996.5	0.5472
Harding University	Searcy	AR	683	18635.0	1135.0	0.70184934596301	19692.0	0.4437
Henderson State University	Arkadelphia	AR	1098	15180.0	1030.0	0.66110019646365	11000.0	0.4295
Hendrix College	Conway	AR	718	42440.0	1287.0	0.77103825136612	21500.0	0.4753
John Brown University	Siloam Springs	AR	943	25324.0	1173.0	0.77114427860696	16795.0	0.4154
Ouachita Baptist University	Arkadelphia	AR	1045	24940.0	1116.0	0.66880841121495	14607.5	0.4672
University of the Ozarks	Clarksville	AR	1446	23750.0	999.0	0.868156424581	6500.0	0.4926
Williams Baptist University	Walnut Ridge	AR	1661	17320.0	970.0	0.6051051051051	11952.0	0.5184
Azusa Pacific University	Azusa	CA	401	36120.0	1035.0	0.6145703611457	18500.0	0.3383
Biola University	La Mirada	CA	322	36696.0	1093.0	0.64853175506487	19500.0	0.3627
California Baptist University	Riverside	CA	789	31372.0	988.0	0.63991148662241	20820.5	0.3678
California Institute of Technology	Pasadena	CA	53	47577.0	1555.0	0.08067104303428	11500.0	0.5914
California Lutheran University	Thousand Oaks	CA	662	39793.0	1107.0	0.64194245800765	18219.5	0.4292
Chapman University	Orange	CA	231	48710.0	1225.0	0.54028546915217	19000.0	0.394
San Diego Christian College	Santee	CA	1637	29550.0	938.0	0.532981530343	15822.5	0.4681
Claremont McKenna College	Claremont	CA	512	50945.0	1413.0	0.09444970040996	13000.0	0.5119
Dominican University of California	San Rafael	CA	692	43400.0	1039.0	0.77745241581259	27000.0	0.27
Fresno Pacific University	Fresno	CA	930	29320.0	968.0	0.68478260869565	18000.0	0.2854
Harvey Mudd College	Claremont	CA	290	52666.0	1496.0	0.12870813397129	21254.0	0.538
Holy Names University	Oakland	CA	1257	37074.0	888.0	0.48459958932238	20197.0	0.3573
Humboldt State University	Arcata	CA	254	18369.0	983.0	0.7709393799167	13600.0	0.4388
University of La Verne	La Verne	CA	840	39900.0	1040.0	0.48055004955401	21580.0	0.4094
La Sierra University	Riverside	CA	1025	31590.0	906.0	0.45933847301666	16000.0	0.4115
Loyola Marymount University	Los Angeles	CA	249	44480.0	1244.0	0.53872353028283	19490.5	0.4367
Menlo College	Atherton	CA	1451	39950.0	1010.0	0.40865603644646	16125.0	0.5515
Mount Saint Mary's University	Los Angeles	CA	1397	37722.0	923.0	0.8592115848753	21000.0	0.0626
Notre Dame de Namur University	Belmont	CA	1441	33268.0	913.0	0.96677471636953	19500.0	0.3411
Occidental College	Los Angeles	CA	403	51070.0	1315.0	0.45810578873459	21000.0	0.4384
Hope International University	Fullerton	CA	1430	30550.0	942.0	0.35747883349012	15500.0	0.4085
Pacific Union College	Angwin	CA	1026	28629.0	986.0	0.46546128882707	22000.0	0.39
University of the Pacific	Stockton	CA	363	44588.0	1180.0	0.65986471251409	20120.5	0.4663
Pepperdine University	Malibu	CA	217	50022.0	1251.0	0.36873368733687	24250.0	0.4121
Point Loma Nazarene University	San Diego	CA	878	33500.0	1149.0	0.69418089816571	18667.0	0.3533
Pomona College	Claremont	CA	306	49352.0	1442.0	0.09442113058504	11700.0	0.499
University of Redlands	Redlands	CA	640	46570.0	1101.0	0.74747917580008	25000.0	0.4405
San Diego State University	San Diego	CA	100	18244.0	1132.0	0.3463852450932	13277.0	0.4577
University of San Diego	San Diego	CA	235	46140.0	1237.0	0.51384167071393	21250.0	0.4591
San Francisco State University	San Francisco	CA	129	17644.0	979.0	0.68199762581785	13000.0	0.4431
University of San Francisco	San Francisco	CA	205	44494.0	1150.0	0.71365033684348	21953.0	0.3815
William Jessup University	Rocklin	CA	1341	28700.0	1023.0	0.72506738544474	15000.0	0.3969
Santa Clara University	Santa Clara	CA	148	47112.0	1321.0	0.48301124163193	19166.0	0.5008
Scripps College	Claremont	CA	911	50982.0	1353.0	0.29880873593646	12500.0	0.0
Simpson University	Redding	CA	1584	25950.0	985.0	0.52153110047846	15765.0	0.3376
Saint Mary's College of California	Moraga	CA	615	44360.0	1093.0	0.8038632986627	21500.0	0.403
Sonoma State University	Rohnert Park	CA	266	18548.0	990.0	0.76272214472008	13000.0	0.3698
Vanguard University of Southern California	Costa Mesa	CA	1036	31430.0	942.0	0.70239774330042	19000.0	0.3479
University of Southern California	Los Angeles	CA	20	52283.0	1395.0	0.16621223286661	21250.0	0.482
